model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
B_z,case_i_center,20.0,1.0,half_x_nm+,3.594398e-03,-2.938280e-02
B_z,case_i_center,20.0,1.0,half_x_nm-,-1.301166e-03,-1.098030e-03
B_z,case_i_center,20.0,1.0,half_z_nm+,2.763343e-03,-4.807152e-02
B_z,case_i_center,20.0,1.0,half_z_nm-,-6.983659e-04,4.589387e-05
B_z,case_i_center,20.0,1.0,period_nm+,-5.271587e-04,-5.323943e-06
B_z,case_i_center,20.0,1.0,period_nm-,-1.797352e-03,-1.728428e-04
B_z,case_ii_edge,5.0,0.5,baseline,-2.965947e-02,6.202594e-02
B_z,case_ii_edge,5.0,0.5,depth_nm+,4.632678e-03,-9.741239e-02
B_z,case_ii_edge,5.0,0.5,depth_nm-,-6.512462e-04,1.177273e-02
B_z,case_ii_edge,5.0,0.5,half_x_nm+,2.737527e-02,-1.883375e-01
B_z,case_ii_edge,5.0,0.5,half_x_nm-,-2.589268e-04,-3.455845e-02
B_z,case_ii_edge,5.0,0.5,half_z_nm+,7.522051e-03,-3.220421e-02
B_z,case_ii_edge,5.0,0.5,half_z_nm-,-1.906909e-03,6.712989e-02
B_z,case_ii_edge,5.0,0.5,period_nm+,-2.390734e-04,-7.849135e-03
B_z,case_ii_edge,5.0,0.5,period_nm-,-9.239062e-03,6.447597e-04
B_z,case_ii_edge,5.0,1.0,baseline,-2.632253e-03,-8.235297e-02
B_z,case_ii_edge,5.0,1.0,depth_nm+,-2.349978e-02,-1.858872e-01
B_z,case_ii_edge,5.0,1.0,depth_nm-,-4.092837e-04,1.321818e-02
B_z,case_ii_edge,5.0,1.0,half_x_nm+,-8.795448e-03,2.729798e-02
B_z,case_ii_edge,5.0,1.0,half_x_nm-,1.183147e-03,-4.078761e-02
B_z,case_ii_edge,5.0,1.0,half_z_nm+,-6.247311e-02,-1.727795e-01
B_z,case_ii_edge,5.0,1.0,half_z_nm-,-1.025090e-03,1.560011e-02
B_z,case_ii_edge,5.0,1.0,period_nm+,1.424900e-05,7.721336e-02
B_z,case_ii_edge,5.0,1.0,period_nm-,2.124490e-03,2.424301e-03
B_z,case_ii_edge,20.0,0.5,baseline,-1.042958e-04,2.307175e-03
B_z,case_ii_edge,20.0,0.5,depth_nm+,-1.609707e-04,-8.065300e-03
B_z,case_ii_edge,20.0,0.5,depth_nm-,-6.822432e-05,3.245101e-03
B_z,case_ii_edge,20.0,0.5,half_x_nm+,-3.640429e-04,-4.632923e-05
B_z,case_ii_edge,20.0,0.5,half_x_nm-,1.473879e-06,-2.814048e-03
B_z,case_ii_edge,20.0,0.5,half_z_nm+,-5.075948e-04,-5.366428e-03
B_z,case_ii_edge,20.0,0.5,half_z_nm-,-5.187842e-07,3.788296e-03
B_z,case_ii_edge,20.0,0.5,period_nm+,-1.015812e-06,-7.034938e-04
B_z,case_ii_edge,20.0,0.5,period_nm-,-6.030953e-04,-1.528108e-04
B_z,case_ii_edge,20.0,1.0,baseline,-8.496057e-03,-5.512967e-03
B_z,case_ii_edge,20.0,1.0,depth_nm+,5.262880e-04,-8.701655e-03
B_z,case_ii_edge,20.0,1.0,depth_nm-,-3.130102e-03,7.839496e-03
B_z,case_ii_edge,20.0,1.0,half_x_nm+,-7.626547e-03,1.240330e-02
B_z,case_ii_edge,20.0,1.0,half_x_nm-,-3.801717e-03,-2.135698e-03
B_z,case_ii_edge,20.0,1.0,half_z_nm+,-4.990758e-03,-2.290830e-03
B_z,case_ii_edge,20.0,1.0,half_z_nm-,-3.986141e-03,2.480690e-03
B_z,case_ii_edge,20.0,1.0,period_nm+,5.275607e-06,-2.016688e-04
B_z,case_ii_edge,20.0,1.0,period_nm-,-6.480199e-03,1.319394e-03
